"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Hawaii"	"15"	"Dec., 2018"	"2018/12"	43	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"			542	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2018"	"2018/01"	49	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2018"	"2018/02"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2018"	"2018/03"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2018"	"2018/04"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2018"	"2018/05"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2018"	"2018/06"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2018"	"2018/09"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2018"	"2018/10"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nov., 2018"	"2018/11"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Idaho"	"16"	"Dec., 2018"	"2018/12"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"			235	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2018"	"2018/01"	545	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2018"	"2018/02"	322	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Mar., 2018"	"2018/03"	277	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Apr., 2018"	"2018/04"	188	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"May, 2018"	"2018/05"	163	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jun., 2018"	"2018/06"	138	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jul., 2018"	"2018/07"	137	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Aug., 2018"	"2018/08"	150	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sep., 2018"	"2018/09"	145	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Oct., 2018"	"2018/10"	157	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Nov., 2018"	"2018/11"	131	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Illinois"	"17"	"Dec., 2018"	"2018/12"	211	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"			2564	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2018"	"2018/01"	269	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2018"	"2018/02"	176	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2018"	"2018/03"	123	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2018"	"2018/04"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2018"	"2018/05"	57	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2018"	"2018/06"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2018"	"2018/07"	62	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2018"	"2018/08"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2018"	"2018/09"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2018"	"2018/10"	66	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2018"	"2018/11"	58	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2018"	"2018/12"	65	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"			1118	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Jan., 2018"	"2018/01"	148	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Feb., 2018"	"2018/02"	136	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Mar., 2018"	"2018/03"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Apr., 2018"	"2018/04"	64	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"May, 2018"	"2018/05"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Jun., 2018"	"2018/06"	41	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Jul., 2018"	"2018/07"	36	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Aug., 2018"	"2018/08"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Sep., 2018"	"2018/09"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Oct., 2018"	"2018/10"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Nov., 2018"	"2018/11"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Iowa"	"19"	"Dec., 2018"	"2018/12"	44	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"			697	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2018"	"2018/01"	133	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Feb., 2018"	"2018/02"	121	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Mar., 2018"	"2018/03"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Apr., 2018"	"2018/04"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"May, 2018"	"2018/05"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jun., 2018"	"2018/06"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jul., 2018"	"2018/07"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Aug., 2018"	"2018/08"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Sep., 2018"	"2018/09"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Oct., 2018"	"2018/10"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Nov., 2018"	"2018/11"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kansas"	"20"	"Dec., 2018"	"2018/12"	45	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"			630	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jan., 2018"	"2018/01"	218	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Feb., 2018"	"2018/02"	134	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Mar., 2018"	"2018/03"	91	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Apr., 2018"	"2018/04"	80	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"May, 2018"	"2018/05"	62	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jun., 2018"	"2018/06"	49	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Jul., 2018"	"2018/07"	51	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Aug., 2018"	"2018/08"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Sep., 2018"	"2018/09"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Oct., 2018"	"2018/10"	43	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Nov., 2018"	"2018/11"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Kentucky"	"21"	"Dec., 2018"	"2018/12"	86	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"			969	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Jan., 2018"	"2018/01"	226	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Feb., 2018"	"2018/02"	112	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Mar., 2018"	"2018/03"	66	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Apr., 2018"	"2018/04"	51	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"May, 2018"	"2018/05"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Jun., 2018"	"2018/06"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Jul., 2018"	"2018/07"	36	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Aug., 2018"	"2018/08"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Sep., 2018"	"2018/09"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Oct., 2018"	"2018/10"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Nov., 2018"	"2018/11"	52	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Louisiana"	"22"	"Dec., 2018"	"2018/12"	66	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"			824	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2018"	"2018/01"	51	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Feb., 2018"	"2018/02"	53	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Mar., 2018"	"2018/03"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Apr., 2018"	"2018/04"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"May, 2018"	"2018/05"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Jun., 2018"	"2018/06"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Jul., 2018"	"2018/07"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Aug., 2018"	"2018/08"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Sep., 2018"	"2018/09"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Oct., 2018"	"2018/10"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Nov., 2018"	"2018/11"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maine"	"23"	"Dec., 2018"	"2018/12"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Maine"	"23"			312	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maryland"	"24"	"Jan., 2018"	"2018/01"	156	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maryland"	"24"	"Feb., 2018"	"2018/02"	128	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maryland"	"24"	"Mar., 2018"	"2018/03"	116	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maryland"	"24"	"Apr., 2018"	"2018/04"	77	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maryland"	"24"	"May, 2018"	"2018/05"	57	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Maryland"	"24"	"Jun., 2018"	"2018/06"	51	Not Applicable	Not Applicable	Not Applicable	Not Applicable
